name,screen_name,type,priority
Якорь | Мужской журнал,yakor.blog,page,1
Science|Наука,sci,page,2
Стартапы и бизнес,vcru,page,3
Это работает | Наука,etorabotaet,page,4
ІТ КПІ,itkpi,page,5
Образовач,obrazovach,page,6
1000 и 1 ошибка Андрея.,money.love.travel,page,7
♫♫♫ Smooth Jazz Club ♫♫♫,sjclub,group,8
KPI Big Data Club,bigdataclub,page,9
КПИ live,kpi_live,page,10
Типичный Киев,typical_kiev,page,11
"Travelerr.ru - путешествия, отдых и туризм",travelerr,page,12
Apparat,apparatmag,page,13
"Илон Маск / Elon Musk (Tesla, SpaceX, Neuralink)",elonmusk,page,14
УКРАЇНА LIVE - НОВИНИ ▪ АТО,live_ukr,page,15
AIN.UA,ain_ua,page,16
КПИ work,kpi_work,page,17
"Клуб ""Свое дело"" – Идеи. Технологии. Тренинги.",klub.svoe.delo,page,18
Корреспондент.net,korrespondent,page,19
ВЫЖИТЬ ЛЮБОЙ ЦЕНОЙ / Выживание,survivallesson,page,20
УКРАЇНА —  ПОНАД УСЕ! - НОВИНИ,revolution_ukrainian,page,21
Future World | Наука &amp; Технологии,wtfuture,page,22
Психология,psyxov,page,23
Эстетика ебеней,yebenya,page,24
"Капитал | бизнес, финансы, инвестирование",kapital4you,page,25
"Стивен Кови, Будьте Проактивны.",scovi,page,26
Астрономия,quasar__by,group,27
Forshlag,forshlag_band,page,28
Студентський простір Belka | КПІ,belka.space,page,29
Nanuna,dream_trapper,group,30
Дневник успеха,stayapple,page,31
Skill  | школа саморазвития!,skill4you,page,32
Записки Миллионера/Гороскопы,zapiski_m,page,33
Ψ █ МИ ПАТРІОТИ УКРАЇНИ █ Ψ,club5525046,page,34
Истории Успеха - бизнес и инвестирование,success.stories,page,35
FUTURE - БУДУЩЕЕ,hereafter,group,36
• Когнитивная психология •,public.cognitive_psychology,page,37
"Активная молодежь Киева /флешмобы,квесты,новости",flashpeopleee,page,38
Smart Money|Бизнес журнал,smart4you,page,39
ВелоКиїв,velokievcom,group,40
Stud Travel - молодіжні тури Україною та Європою,studtravel,group,41
"ВЕЛОКЛУБ ""Катушки-Н""",katushki_n,group,42
"Движение Брайтс | ""The Brights"" Movement",the_brights,page,43
ВССМ УКРАЇНА | НОВИНИ АТО,vssm_ukraine,page,44
Черновик,chernovik_band,group,45
Sci-Hub | Открытый доступ к научной информации,sci_hub,group,46
КИЕВ,kiev_gorod,group,47
"Одін, бог мудрості",odin_god_of_wisdom,group,48
ВелоРусанівка,velorusanivka,group,49
Словарь Скептика: Энциклопедия Заблуждений,skepdic,page,50
Открытый космос,space_live,page,51
Curiosity-марсоход. Сол 1690,curiosity_live,group,52
Страдающее Средневековье,souffrantmittelalter,page,53
The Employer | Предприниматель,theemployer,page,54
METALLICA,metallica_official,group,55
Finance &amp; Success,financeandsuccess,page,56
Инвестируй и Богатей,investandrich,page,57
Популяризация науки,reason_science,page,58
"Роберт Кийосаки | Ваш план ""Б""",kiyosaki_robert,page,59
Киев,i.love.kiev,page,60
"АФИША КИЕВА-музыка,театр,кино,концерты,вечеринки",afisha_kieva,group,61
Скучающий ботан,buddy_holly_nerd_public,page,62
"Один день, чтобы изменить все!",1daytoday,page,63
ТАКИ ДА! Еврейские темы и обсуждения Вконтакте,jews,group,64
Эволюция - очевидная реальность,evolreal,page,65
AIESEC в Україні І Вперед на стажування,aiesecukraine,page,66
ТІНЬ СОНЦЯ: Офіційна спільнота,tin_sontsya,group,67
Життя з Ісусом кожного дня !,jesuslife2,group,68
Палеонтология и эволюция биосферы,paleoevol,page,69
"Работа. Подработка для студентов, Киев/Stud Work",studworks,page,70
SCARLETH | Official Community,scarleth,group,71
ITER AD ORTUS,iter_ad_ortus,page,72
УКРАЇНА починається з нас. Любіть УКРАЇНУ!,club3627779,group,73
Наука Сейчас,science_now,page,74
Мастерская Успеха™,mastepskaya_yspeha,group,75
Alpha Centauri | Космос,thealphacentauri,page,76
AIESEC у Києві l Ми переїхали,aiesec_kyiv,group,77
EY Ukraine Careers,eyukrainecareers,page,78
TIBIDABO-TOUR | Клуб активных путешествий,tibidabo.tour,group,79
"Антикафе Бергамот, Киев",bergamot_kiev,page,80
Codeguida,codeguida,page,81
Арт-простір «Вежа»,vezhakpi,page,82
NIGHT RIDE in KYIV,night_ride_in_kyiv,page,83
STILVERLIGHT - Official Community,clubstilverlight,group,84
WORK AND TRAVEL USA/CAMP COUNSELORS USA 2011,atlantictravel,group,85
Міжнародні програми стажувань | AIESEC Київ,aiesec_exchange_kyiv,group,86
15x4 Share Your Knowledge,15x4talks,group,87
|| INFINITE TALES || 2007-2015,infinitetales,group,88
Велодень,bike_day_2017,event,89
Ведущий Максим Гусев анти тамада на свадьбу Киев,gusev_club,group,90
Задачник скучающего ботана,nerd_zadachnik,page,91
